run_idx,mean_inf_days_pax,n_transmission_asymp,n_transmission_presymp,n_transmission_mild,n_transmission_severe,infected_n,deaths_n,severe_n,test_rate,av_disbured_rate,unvacc_cond_prob_sev,unvacc_cond_prob_dead,inf_unvacc_cond_prob_sev,inf_unvacc_cond_prob_dead,risk_cond_prob_sev,risk_cond_prob_dead,inf_risk_cond_prob_sev,inf_risk_cond_prob_dead,old_cond_prob_sev,old_cond_prob_dead,inf_old_cond_prob_sev,inf_old_cond_prob_dead,inf_age_0,inf_age_1,inf_age_2,inf_age_3,inf_age_4,inf_age_5,inf_age_6,inf_age_7,inf_age_8,inf_age_9,inf_age_10,inf_age_11,inf_age_12,inf_age_13,inf_age_14,inf_age_15,inf_age_16,inf_age_17,inf_age_18,inf_age_19,inf_age_20,inf_age_21,inf_age_22,inf_age_23,inf_age_24,inf_age_25,inf_age_26,inf_age_27,inf_age_28,inf_age_29,inf_age_30,inf_age_31,inf_age_32,inf_age_33,inf_age_34,inf_age_35,inf_age_36,inf_age_37,inf_age_38,inf_age_39,inf_age_40,inf_age_41,inf_age_42,inf_age_43,inf_age_44,inf_age_45,inf_age_46,inf_age_47,inf_age_48,inf_age_49,inf_age_50,inf_age_51,inf_age_52,inf_age_53,inf_age_54,inf_age_55,inf_age_56,inf_age_57,inf_age_58,inf_age_59,inf_age_60,inf_age_61,inf_age_62,inf_age_63,inf_age_64,inf_age_65,inf_age_66,inf_age_67,inf_age_68,inf_age_69,inf_age_70,inf_age_71,inf_age_72,inf_age_73,inf_age_74,inf_age_75,inf_age_76,inf_age_77,inf_age_78,inf_age_79,inf_age_80,inf_age_81,inf_age_82,inf_age_83,inf_age_84,inf_age_85,inf_age_86,inf_age_87,inf_age_88,inf_age_89,inf_age_90,inf_age_91,inf_age_92,inf_age_93,inf_age_94,inf_age_95,inf_age_96,inf_age_97,inf_age_98,inf_age_99,trans_from_HR_n,trans_from_LR_n,sev_cases_HR_n,sev_cases_LR_n,d0_onset_abv65_n,d0_onset_tot_n,d1_onset_abv65_n,d1_onset_tot_n,d2_onset_abv65_n,d2_onset_tot_n,d3_onset_abv65_n,d3_onset_tot_n,d4_onset_abv65_n,d4_onset_tot_n,d5_onset_abv65_n,d5_onset_tot_n,d6_onset_abv65_n,d6_onset_tot_n,d7_onset_abv65_n,d7_onset_tot_n,d8_onset_abv65_n,d8_onset_tot_n,d9_onset_abv65_n,d9_onset_tot_n,d10_onset_abv65_n,d10_onset_tot_n,d11_onset_abv65_n,d11_onset_tot_n,d12_onset_abv65_n,d12_onset_tot_n,d13_onset_abv65_n,d13_onset_tot_n,d14_onset_abv65_n,d14_onset_tot_n,d15_onset_abv65_n,d15_onset_tot_n,d16_onset_abv65_n,d16_onset_tot_n,d17_onset_abv65_n,d17_onset_tot_n,d18_onset_abv65_n,d18_onset_tot_n,d19_onset_abv65_n,d19_onset_tot_n,d20_onset_abv65_n,d20_onset_tot_n,d21_onset_abv65_n,d21_onset_tot_n,d22_onset_abv65_n,d22_onset_tot_n,d23_onset_abv65_n,d23_onset_tot_n,d24_onset_abv65_n,d24_onset_tot_n,d25_onset_abv65_n,d25_onset_tot_n,d26_onset_abv65_n,d26_onset_tot_n,d27_onset_abv65_n,d27_onset_tot_n,d28_onset_abv65_n,d28_onset_tot_n,d29_onset_abv65_n,d29_onset_tot_n,d30_onset_abv65_n,d30_onset_tot_n,d31_onset_abv65_n,d31_onset_tot_n,d32_onset_abv65_n,d32_onset_tot_n,d33_onset_abv65_n,d33_onset_tot_n,d34_onset_abv65_n,d34_onset_tot_n,d35_onset_abv65_n,d35_onset_tot_n,d36_onset_abv65_n,d36_onset_tot_n,d37_onset_abv65_n,d37_onset_tot_n,d38_onset_abv65_n,d38_onset_tot_n,d39_onset_abv65_n,d39_onset_tot_n,d40_onset_abv65_n,d40_onset_tot_n,d41_onset_abv65_n,d41_onset_tot_n,d42_onset_abv65_n,d42_onset_tot_n,d43_onset_abv65_n,d43_onset_tot_n,d44_onset_abv65_n,d44_onset_tot_n,d45_onset_abv65_n,d45_onset_tot_n,d46_onset_abv65_n,d46_onset_tot_n,d47_onset_abv65_n,d47_onset_tot_n,d48_onset_abv65_n,d48_onset_tot_n,d49_onset_abv65_n,d49_onset_tot_n,d50_onset_abv65_n,d50_onset_tot_n,d51_onset_abv65_n,d51_onset_tot_n,d52_onset_abv65_n,d52_onset_tot_n,d53_onset_abv65_n,d53_onset_tot_n,d54_onset_abv65_n,d54_onset_tot_n,d55_onset_abv65_n,d55_onset_tot_n,d56_onset_abv65_n,d56_onset_tot_n,d57_onset_abv65_n,d57_onset_tot_n,d58_onset_abv65_n,d58_onset_tot_n,d59_onset_abv65_n,d59_onset_tot_n,d60_onset_abv65_n,d60_onset_tot_n,d61_onset_abv65_n,d61_onset_tot_n,d62_onset_abv65_n,d62_onset_tot_n,d63_onset_abv65_n,d63_onset_tot_n,d64_onset_abv65_n,d64_onset_tot_n,d65_onset_abv65_n,d65_onset_tot_n,d66_onset_abv65_n,d66_onset_tot_n,d67_onset_abv65_n,d67_onset_tot_n,d68_onset_abv65_n,d68_onset_tot_n,d69_onset_abv65_n,d69_onset_tot_n,d70_onset_abv65_n,d70_onset_tot_n,d71_onset_abv65_n,d71_onset_tot_n,d72_onset_abv65_n,d72_onset_tot_n,d73_onset_abv65_n,d73_onset_tot_n,d74_onset_abv65_n,d74_onset_tot_n,d75_onset_abv65_n,d75_onset_tot_n,d76_onset_abv65_n,d76_onset_tot_n,d77_onset_abv65_n,d77_onset_tot_n,d78_onset_abv65_n,d78_onset_tot_n,d79_onset_abv65_n,d79_onset_tot_n,d80_onset_abv65_n,d80_onset_tot_n,d81_onset_abv65_n,d81_onset_tot_n,d82_onset_abv65_n,d82_onset_tot_n,d83_onset_abv65_n,d83_onset_tot_n,d84_onset_abv65_n,d84_onset_tot_n,d85_onset_abv65_n,d85_onset_tot_n,d86_onset_abv65_n,d86_onset_tot_n,d87_onset_abv65_n,d87_onset_tot_n,d88_onset_abv65_n,d88_onset_tot_n,d89_onset_abv65_n,d89_onset_tot_n,d90_onset_abv65_n,d90_onset_tot_n,expected_hospitalization_n
0,4.69859566,31557,4158,19547,915,574815,2691,10976,464.3681319,129.3087912,0.003741763,3.70E-05,0.005802116,5.74E-05,0.013086184,0.003473227,0.022392228,0.005943161,0.021485491,0.009399669,0.03609535,0.015791324,2673,2607,2617,2625,2647,4628,4533,4513,4400,4573,7813,8168,8202,7961,7692,8552,8568,8575,8413,5923,8225,8335,8251,8059,8109,8170,8076,8043,7897,7661,7867,7840,7569,7672,7504,7042,6842,6782,6783,6868,6511,6512,6489,6547,6530,6895,6909,6933,6790,6758,8062,8050,8035,7905,8000,7677,8014,8005,7885,7702,7233,7191,7372,7326,7237,6474,6404,6379,6365,6430,6628,6614,6637,6722,6609,4937,4972,5001,5055,5169,3473,3436,3448,3385,3419,1974,2024,1952,2098,1960,825,780,829,813,812,246,283,265,286,265,115493,192451,6397,1918,301,1481,763,3525,111,535,137,528,226,814,384,1402,407,1645,394,1344,528,1772,472,1650,495,1874,545,2092,588,2047,531,1888,541,2092,762,2863,870,3227,907,3283,892,3448,817,3133,796,2964,927,3465,1167,4481,1296,5068,1238,4974,1318,5123,1176,4483,1159,4396,1287,4942,1633,6461,1739,6861,1665,6644,1766,6865,1632,6141,1526,5727,1607,6323,2002,7972,2230,8438,2154,8096,2167,8222,1837,7149,1773,6786,1872,7054,2291,8793,2487,9164,2291,8644,2290,8596,2011,7364,1791,6798,1828,6978,2192,8380,2380,8822,2121,8094,2016,7760,1768,6680,1582,5770,1632,6160,1858,7197,1908,7228,1731,6639,1711,6265,1359,5209,1239,4708,1223,4644,1369,5294,1405,5221,1224,4734,1202,4390,967,3689,914,3369,835,3215,946,3563,931,3506,886,3272,769,3049,628,2483,596,2234,564,2096,604,2366,605,2284,529,2006,473,1887,390,1635,354,1403,354,1368,387,1468,381,1432,353,1288,283,1171,258,1029,225,911,2331.832792
1,4.6838817,30907,4067,18885,907,569518,2592,10860,460.8351648,127.4582418,0.003762436,1.85E-05,0.005850533,2.88E-05,0.013335957,0.003602983,0.023054847,0.006228741,0.021392313,0.009165464,0.036298021,0.015551764,2579,2607,2523,2662,2537,4535,4556,4455,4700,4521,8091,8081,8016,7834,7688,8335,8425,8472,8294,5829,8294,8099,8181,8245,8074,8143,8039,8111,7963,7962,7790,7743,7427,7479,7463,6834,6872,6754,6622,6548,6493,6498,6383,6525,6378,6859,6674,6584,6909,6741,7888,7782,7933,7758,7973,7948,7992,7790,7738,7622,7271,7379,7391,7143,7065,6371,6307,6219,6347,6379,6501,6391,6646,6579,6531,4944,4935,5042,4949,4909,3537,3407,3394,3452,3406,1918,1991,1984,2030,1951,839,836,734,788,841,254,228,270,272,236,114190,190643,6370,1857,1147,5004,62,287,13,45,56,246,268,951,398,1623,433,1648,270,1058,405,1585,383,1397,424,1809,545,2003,457,1804,486,1810,480,1926,688,2636,782,2925,773,3006,858,3340,763,2886,710,2756,800,3150,1124,4236,1193,4757,1121,4515,1221,4782,1148,4302,1059,3997,1210,4694,1601,6065,1614,6518,1669,6305,1685,6567,1563,5802,1415,5340,1518,5938,1952,7569,2063,8203,2101,7951,2003,7764,1838,6929,1656,6296,1837,6929,2209,8516,2431,8874,2207,8427,2181,8448,1917,7430,1789,6585,1880,6916,2259,8326,2240,8433,2066,7970,2087,7725,1773,6772,1568,5947,1603,6146,1860,7147,1932,7341,1752,6687,1678,6446,1384,5285,1333,4761,1260,4874,1491,5578,1404,5448,1344,4980,1192,4756,1056,4001,942,3542,914,3504,967,3741,1014,3908,899,3448,878,3248,697,2694,660,2545,630,2331,668,2570,689,2554,591,2340,540,2107,484,1758,396,1468,411,1580,473,1683,400,1587,401,1473,331,1337,307,1179,267,964,2311.210202
2,4.69006103,31181,4241,19161,908,573479,2765,11158,464.3956044,128.6945055,0.003872026,8.63E-05,0.005989852,0.000133532,0.013583975,0.00364869,0.023394544,0.006283834,0.021728163,0.009649487,0.036694584,0.016296081,2539,2639,2688,2702,2733,4537,4440,4478,4638,4601,7867,8178,8169,7949,7770,8514,8318,8581,8413,5961,8288,8269,8223,8163,8284,8074,8244,7960,7985,7848,7901,7908,7629,7554,7570,6812,6734,6717,6557,6781,6544,6401,6439,6422,6399,6796,6904,6843,6838,6790,7962,8126,7962,7898,8143,7973,7977,7821,7656,7926,7244,7176,7311,7250,7385,6155,6340,6194,6354,6418,6692,6554,6687,6592,6586,5022,5049,4958,4999,4976,3526,3450,3439,3429,3439,2054,1968,1959,1972,1959,755,821,768,878,749,267,257,255,296,260,114864,192579,6500,1953,855,3715,416,1937,63,292,96,358,233,883,396,1442,413,1620,329,1344,429,1689,440,1649,499,1891,577,2142,479,1827,493,1821,542,2040,724,2768,785,3119,862,3286,862,3265,785,3025,740,2848,902,3388,1121,4299,1257,4823,1245,4676,1262,4976,1169,4451,1123,4306,1219,4727,1611,6211,1697,6560,1643,6535,1685,6613,1487,5881,1474,5589,1579,6078,1912,7681,2068,8011,2134,7887,2032,7975,1956,7053,1748,6437,1808,6937,2378,8524,2366,9057,2242,8617,2203,8328,1892,7237,1717,6645,1920,7052,2251,8368,2250,8573,2120,7940,2095,7812,1751,6612,1646,6025,1619,6178,1841,7146,1897,7198,1769,6775,1587,6124,1385,5342,1266,4780,1285,4798,1360,5257,1353,5447,1332,4906,1221,4655,970,3954,880,3541,868,3350,1005,3851,1003,3695,878,3372,909,3347,754,2759,624,2346,566,2143,620,2471,646,2457,587,2241,548,2139,439,1730,375,1466,369,1406,398,1661,370,1535,353,1448,329,1307,284,1097,259,943,2366.953636
3,4.698997567,32008,4228,19532,936,575069,2726,11266,465.167033,129.3758242,0.004232407,1.85E-05,0.006523597,2.85E-05,0.01385146,0.0037271,0.02360115,0.00635051,0.021857556,0.009616427,0.036777473,0.016180578,2542,2599,2638,2591,2533,4429,4418,4523,4507,4410,8250,8310,7980,7696,7853,8386,8481,8534,8427,5951,8362,8181,8414,8202,8218,8216,8181,8202,7988,7876,7835,7697,7782,7558,7581,6869,6859,6845,6645,6745,6582,6514,6511,6584,6436,6773,6913,6860,6799,6704,8174,8129,8080,7998,7992,7945,7896,8013,7852,8044,7197,7323,7172,7090,7314,6386,6295,6410,6394,6533,6704,6615,6380,6417,6664,5007,5104,4954,5234,5045,3529,3435,3485,3441,3355,2027,2007,1989,2061,2000,814,822,808,793,825,240,249,310,262,266,114922,192457,6530,2005,393,1890,480,2137,72,342,90,410,238,1022,411,1540,421,1625,267,1114,468,1708,419,1628,523,2054,569,2190,520,1979,518,1867,582,2073,712,2717,853,3231,831,3205,863,3402,792,3044,761,2831,853,3248,1106,4477,1330,4990,1261,4877,1349,5041,1159,4397,1098,4288,1320,4857,1566,6187,1631,6582,1692,6736,1724,6821,1514,6067,1418,5607,1712,6317,2053,7784,2088,8271,2177,8026,2100,8162,1902,7130,1758,6586,1912,7245,2385,8917,2416,9058,2255,8588,2217,8474,1938,7339,1811,6735,1840,7055,2193,8393,2324,8828,2099,8140,2108,7962,1748,6715,1613,6113,1597,6216,1958,7214,1970,7300,1775,6594,1713,6447,1411,5357,1243,4679,1229,4744,1496,5520,1388,5530,1263,4984,1215,4615,1049,4021,947,3446,853,3300,994,3727,972,3690,847,3283,799,3107,684,2598,588,2254,631,2295,653,2468,608,2386,547,2108,523,2034,462,1542,366,1444,332,1278,344,1495,407,1522,374,1366,341,1219,270,1004,226,861,2381.231808
4,4.694964473,32226,4276,19777,933,578713,2765,11343,466.7384615,129.9637363,0.004049731,7.40E-05,0.006206779,0.000113366,0.01337355,0.003599862,0.02277149,0.006129579,0.022119585,0.009576822,0.037013222,0.016025121,2520,2616,2557,2492,2629,4655,4583,4792,4583,4675,8140,8097,7997,7758,7987,8490,8688,8602,8254,5905,8329,8379,8374,8064,8218,8320,8279,8206,8044,8031,8141,7857,7798,7557,7579,7047,6893,6847,6771,6709,6512,6554,6466,6599,6468,6877,6950,6866,6853,6875,8267,8170,8175,7910,7973,7969,7876,7877,7924,7903,7429,7319,7305,7277,7371,6419,6454,6408,6455,6484,6731,6631,6633,6704,6640,5020,5046,5032,5013,5074,3456,3505,3515,3515,3459,2030,1951,1996,1957,1987,795,775,793,813,792,267,279,281,304,271,116207,193206,6585,2008,560,2468,72,319,8,39,79,287,330,1252,452,1841,386,1525,228,781,428,1586,390,1408,532,2069,553,2132,525,1835,482,1708,517,1939,714,2704,847,3166,825,3102,851,3271,772,2949,741,2784,883,3326,1101,4417,1227,4779,1232,4773,1266,4938,1167,4450,1112,4223,1259,4872,1644,6196,1593,6578,1695,6733,1649,6625,1532,6146,1539,5687,1662,6314,1994,7943,2286,8673,2117,8060,2215,8280,1987,7371,1912,6844,2007,7416,2339,8982,2482,9351,2330,8863,2393,8733,2030,7705,1857,7109,1939,7222,2282,8682,2380,9119,2240,8313,2129,8102,1845,7004,1683,6238,1596,6297,1909,7325,1929,7423,1843,6941,1711,6505,1406,5357,1272,4993,1296,4819,1364,5379,1457,5404,1257,4900,1192,4700,993,3944,894,3354,940,3471,997,3850,988,3685,846,3356,816,3113,697,2618,604,2360,593,2191,607,2405,583,2365,593,2163,485,2037,416,1631,431,1459,312,1359,392,1488,405,1491,343,1327,318,1143,232,995,244,941,2407.49893
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,